rota,aktarma_sayısı,avg_pricekm,median_price,min_price,max_price,std_price
DTW-JFK,31955,0.5171092888575324,0.4779677819083024,0.06364942528735631,2.026984126984127,0.24513236361852134
DTW-LAX,74425,0.21913761642504112,0.21235557545902373,0.0533829568788501,0.9106946983546618,0.0583971493220176
DTW-LGA,28469,0.33166303537074443,0.3063917525773196,0.03505028735632184,3.4795876288659793,0.18219978565551362
DTW-MIA,38037,0.19823276371597204,0.1845185651353052,0.03073994252873563,1.4610581092801387,0.09091164618521656
DTW-OAK,50047,0.274328946512022,0.26885245901639343,0.06647276084949215,0.8619272048530098,0.07781510783794525
DTW-ORD,7215,0.7861010036444447,0.7566666666666666,0.08591954022988506,6.9816666666666665,0.4460124614077384
DTW-PHL,25691,0.4533280014991089,0.41513157894736846,0.039511494252873564,3.6411856823266215,0.2557126533225945
DTW-SFO,56385,0.24932390896607157,0.23586065573770493,0.044842557251908395,2.896623177283193,0.09344637069031078
EWR-ATL,21830,0.27825844306827113,0.27310478654592496,0.02204741379310345,2.9354463130659765,0.14313812849599228
EWR-BOS,7388,0.6053700611802618,0.5059459459459459,0.039224137931034485,7.078918918918919,0.4408266390198613
EWR-CLT,26151,0.3565087276468395,0.3561616161616162,0.04,3.426788990825688,0.18959359403419418
EWR-DEN,34580,0.25088098064590897,0.2374203069657615,0.05234042553191489,1.3742134484885873,0.08660511097694447
EWR-DFW,28734,0.221221253059758,0.21425689307330195,0.049710144927536226,1.777246376811594,0.08637561003992271
EWR-DTW,26564,0.32929833071185227,0.28935344827586207,0.048764367816091954,2.675463917525773,0.19206321283843789
EWR-IAD,26966,0.6101603693709969,0.449599974768448,0.05922182920667004,5.925791855203619,0.5649978883925314
EWR-LAX,58284,0.18818386900650755,0.17999623918766455,0.036723549488054605,1.3444304312449147,0.06255393212659408
EWR-LGA,2,0.7502099963531748,0.7762162162162162,0.12038793103448277,1.6681081081081082,0.4080514714103871
EWR-MIA,20107,0.19612972245221907,0.18360632183908046,0.02204741379310345,1.9996376811594203,0.1045367796674969
EWR-OAK,24363,0.22692602929412187,0.21837372947615324,0.08438042346407497,0.8887632884479093,0.06386020600975582
EWR-ORD,29933,0.32964054427489087,0.29998563218390806,0.047327586206896546,2.753611111111111,0.17161725801202465
EWR-PHL,42674,0.6686277046279466,0.40493096646942806,0.09209770114942528,12.346494845360823,0.7352941307749041
EWR-SFO,36583,0.19872792231807795,0.18505541651769755,0.03842556508183944,1.3634450506625098,0.08051362258153257
IAD-ATL,9846,0.45657988639282404,0.422550831792976,0.08160919540229884,3.029027027027027,0.1827106287712027
IAD-BOS,29372,0.5310461769902758,0.41905213270142183,0.042816091954022986,3.0532019704433497,0.30100634983709357
IAD-CLT,14717,0.511600605664404,0.4636085626911315,0.07801724137931033,5.011009174311926,0.3344982489172646
IAD-DEN,29121,0.300021203788982,0.284256243213898,0.10456026058631922,1.4871690427698574,0.11995457112047006
IAD-DFW,28515,0.2795000329912387,0.26350710900473934,0.10248306997742664,2.0463891248937975,0.10191160379225687
IAD-DTW,7379,0.47699419981044167,0.4363171355498721,0.07801724137931033,3.3186700767263426,0.3032084728580986
IAD-EWR,29016,0.5677868142952356,0.4484977064220183,0.07844827586206897,5.609049773755656,0.47227954352952783
IAD-JFK,31637,0.6348792731921739,0.5818552036199095,0.07801724137931033,2.930316742081448,0.2743418648244094
IAD-LAX,57184,0.2231443217764416,0.21924959216965742,0.04949981336319523,1.583766233766234,0.06774262743230552
IAD-LGA,93503,0.5776233952970711,0.4686926605504587,0.07801724137931033,5.419049773755655,0.3050978083904655
IAD-MIA,30368,0.3060401167032746,0.3015849056603774,0.057389896373057,1.7308775731310941,0.121336811047975
IAD-OAK,54160,0.27653089343675213,0.26812709030100335,0.10311899237653298,0.9997016904209479,0.07636523699391128
IAD-ORD,34784,0.42797131160827173,0.3809575625680087,0.08769716088328076,2.41010101010101,0.19212746388617863
IAD-PHL,35071,0.6957709591216624,0.5476821192052981,0.10315955766192733,3.939025157232704,0.45531042426253393
IAD-SFO,47198,0.234463846215842,0.22299134734239803,0.07074557004346373,1.8651666666666664,0.07124719045074213
JFK-ATL,30010,0.38769999103105024,0.34790026246719163,0.06329411764705882,1.784265091863517,0.19123677035771833
JFK-BOS,6607,0.850177637477386,0.7491891891891892,0.039224137931034485,8.30054054054054,0.4740700833190133
JFK-CLT,30362,0.41271797419973205,0.3556737588652482,0.08405466970387243,3.107522935779816,0.21684152130088744
JFK-DEN,42288,0.28651864496869134,0.2772026866851047,0.05234042553191489,1.3632183908045976,0.0921292876827319
JFK-DFW,47023,0.28215324668345126,0.2534118322802987,0.04713835060838215,1.8852173913043477,0.13981298420589092
JFK-DTW,24669,0.5083866473461096,0.45999999999999996,0.07370689655172413,3.2003267973856206,0.25130192202377055
JFK-IAD,31883,0.5856833255882458,0.5310779816513762,0.07801724137931033,2.7312217194570136,0.22892328657522173
JFK-LAX,38035,0.20169572976572095,0.17436940602115542,0.035608480975893114,1.9457282343368594,0.11875768214244427
JFK-MIA,11237,0.18182386303730827,0.1789855072463768,0.053591954022988504,2.185326086956522,0.0965853022278214
JFK-OAK,20741,0.22744073278902568,0.2176680972818312,0.06030042918454936,1.970258620689655,0.08570644611641937
JFK-ORD,60286,0.4729103734608847,0.47635009310986964,0.061494252873563214,2.3425,0.16996416066486728
JFK-PHL,24114,0.507799190283474,0.48597896115036454,0.09209770114942528,2.067816091954023,0.19369027155978355
JFK-SFO,13872,0.20186146414416903,0.1744349181605612,0.03842556508183944,1.8521434138737336,0.11575059684930396
LAX-ATL,73657,0.264851112806872,0.2596922325354177,0.0388695652173913,1.0903757076685536,0.06439303659883552
LAX-BOS,87190,0.2287854058844231,0.20851557093425607,0.05395384033295497,7.0681415929203535,0.16518085765057292
LAX-CLT,83126,0.24596392423665342,0.23541472506989747,0.03497008743672342,2.821033360455655,0.08737365345109019
LAX-DEN,39903,0.30710641694242496,0.28178913738019173,0.042801724137931034,2.0325471698113207,0.14474323935329783
LAX-DFW,55012,0.24696451698454294,0.23650458069062721,0.05144888287068382,2.019063004846527,0.09872454230128605
LAX-DTW,78421,0.24876224697490004,0.24369690791709142,0.0782830459770115,1.0902689486552566,0.062230532457473786
LAX-EWR,70242,0.2101949861315123,0.2025881470367592,0.036723549488054605,1.3444304312449147,0.06090184737673559
