route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
CLT-DTW,8-14,8700,332.1911390804598,357.1,122.08,1445.61,107.27891829863147
CLT-DTW,15-30,10356,265.2788856701429,247.1,116.1,1478.1,95.57322594180506
CLT-DTW,31-60,15215,252.09329543213934,227.1,116.1,758.1,80.88633340654786
CLT-EWR,0-3,4040,319.2463787128713,316.1,141.08,1866.1,135.49632278285378
CLT-EWR,4-7,4932,300.9425446066505,297.1,112.08,1458.1,119.57257661196502
CLT-EWR,8-14,8338,272.5810410170305,276.1,101.1,1458.1,90.64692578050371
CLT-EWR,15-30,13518,233.63647433052225,212.1,101.1,1428.1,89.65608957789514
CLT-EWR,31-60,20383,231.27574302114505,206.1,78.28,832.1,89.57828542783378
CLT-IAD,0-3,1450,259.04657931034484,190.1,150.6,2139.11,147.71709304966387
CLT-IAD,4-7,1920,237.46628125,199.1,140.6,1637.1,105.11268744262624
CLT-IAD,8-14,3454,229.3067342211928,180.1,118.1,1283.11,113.36695395735512
CLT-IAD,15-30,6057,224.37535083374607,202.1,101.1,1293.11,106.53803294575005
CLT-IAD,31-60,9156,218.61975535168196,192.1,101.1,1263.1,107.6748278969009
CLT-JFK,0-3,4274,294.69789892372484,217.1,142.1,1692.1,146.50121215813712
CLT-JFK,4-7,5464,292.5681570278184,217.1,120.1,1485.6,134.87804640978752
CLT-JFK,8-14,8460,289.43415484633573,227.1,120.1,1485.6,129.95149243071256
CLT-JFK,15-30,11166,262.1364060540928,210.11,101.1,1770.1,136.5700608173666
CLT-JFK,31-60,16332,250.77820291452363,201.11,101.1,1760.11,127.38723918376385
CLT-LAX,0-3,6038,449.1317820470355,369.1,249.1,3218.7,202.5294601336678
CLT-LAX,4-7,7192,478.499133759733,458.1,226.1,3218.7,199.77168778148518
CLT-LAX,8-14,12318,520.7398895924663,480.71,224.18,3218.7,229.89415346157617
CLT-LAX,15-30,22518,561.1960422772893,535.69,166.1,3218.7,259.5283265271915
CLT-LAX,31-60,35419,527.5867415793783,507.1,178.1,3218.7,206.04344880808844
CLT-LGA,0-3,5455,235.65745187901007,210.1,142.1,2006.1,88.59162329373086
CLT-LGA,4-7,7020,232.9242094017094,199.1,120.1,2174.1,79.12459504534716
CLT-LGA,8-14,11753,231.61002977963074,217.1,101.1,1195.6,72.02735169689704
CLT-LGA,15-30,18399,193.31512310451657,180.1,101.1,949.71,57.591032204259264
CLT-LGA,31-60,29475,187.90930245971163,177.1,101.1,949.71,55.31190620779752
CLT-MIA,0-3,4009,311.77405337989524,210.1,85.08,2184.1,213.25487493464578
CLT-MIA,4-7,5660,288.43974204946994,237.1,43.08,2175.1,128.7633024768723
CLT-MIA,8-14,9966,278.7364589604656,267.1,43.08,1161.1,117.71075906480381
CLT-MIA,15-30,15615,287.1476894012168,307.1,84.08,1558.1,114.08609964161037
